#access logs
127.0.0.1 - - [30/Apr/2020:09:26:46 +0200] "GET /assets/medias/block/news-module/news-module-left.jpg HTTP/1.1" 200 24074 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0"
127.0.0.1 - - [30/Apr/2020:09:26:46 +0200] "GET /assets/medias/block/news-module/button.png HTTP/1.1" 200 30711 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0"
127.0.0.1 - - [30/Apr/2020:09:47:49 +0200] "GET / HTTP/1.1" 200 997 "http://numv2.loc/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0"
127.0.0.1 - - [30/Apr/2020:09:47:49 +0200] "GET /medias/block/news-module/news-module-top.jpg HTTP/1.1" 404 487 "http://numv2.loc/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0"
127.0.0.1 - - [30/Apr/2020:09:47:49 +0200] "GET /medias/block/news-module/news-module-right.jpg HTTP/1.1" 404 487 "http://numv2.loc/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0"
127.0.0.1 - - [30/Apr/2020:09:47:49 +0200] "GET /medias/block/news-module/news-module-bot.jpg HTTP/1.1" 404 487 "http://numv2.loc/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0"
127.0.0.1 - - [30/Apr/2020:09:47:49 +0200] "GET /medias/block/news-module/news-module-left.jpg HTTP/1.1" 404 487 "http://numv2.loc/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0"
127.0.0.1 - - [30/Apr/2020:09:47:49 +0200] "GET /medias/block/news-module/button.png HTTP/1.1" 404 488 "http://numv2.loc/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0"
127.0.0.1 - - [30/Apr/2020:09:47:51 +0200] "GET / HTTP/1.1" 200 996 "http://numv2.loc/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0"
127.0.0.1 - - [30/Apr/2020:09:47:51 +0200] "GET /medias/block/news-module/news-module-top.jpg HTTP/1.1" 404 487 "http://numv2.loc/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0"
